facialacc_cls;budget;kvsr;kfsr;kcsr;kvr;kesr;subkesr;meanstype;summa

840010010;152;940;503;9900020000;244;225;1002000;10004;-3199813.6
840010010;152;940;503;9900020000;244;226;1002000;10004;-2299813.6
840010010;152;940;503;9900020000;244;310;1002000;10004;-2399813.47
840010010;152;940;503;9900020000;244;340;1002000;10004;-4644800.0
840010010;152;940;409;9900020000;244;225;1002000;10004;3999717.64
840010010;152;940;503;Æ100020000;244;225;1002000;10004;7470000.0
840010010;152;940;503;9900060000;612;241;1001400;10183;490533.33
840010010;152;940;503;9900090000;831;290;1003002;10004;889829.15
840010010;152;940;503;9900090000;831;290;1003002;10004;-752000.0
103010010;146;903;707;3500060000;621;241;1001000;10188;-107500.0
103010010;146;903;707;3500060000;621;241;1001000;10187;107500.0
110010010;146;910;409;2000020000;244;226;1002000;10432;-2996347.37
110010010;146;910;409;20000S3040;244;226;1002000;10432;2996347.37
839010010;151;939;503;9900020000;244;225;1002000;10004;-146285.54
839010010;151;939;503;9900020000;244;226;1002000;10004;146285.54
839010010;151;939;503;9900020000;244;226;1002000;10004;-146300.0
839010010;151;939;503;9900020000;244;226;2002000;10004;146300.0
836010010;148;936;104;9900011000;244;221;1001100;10004;-17191.11
836010010;148;936;104;9900011000;244;221;1001100;10004;17191.11
836010010;148;936;104;9900011000;244;226;1001100;10004;-43.06
836010010;148;936;104;9900011000;244;226;1001100;10004;43.06
836010020;148;936;113;9900012000;244;340;1001300;10004;-3.95
836010020;148;936;113;9900012000;244;226;1001300;10004;-4.18
836010020;148;936;113;9900012000;244;221;1001300;10004;-76183.45
836010020;148;936;113;9900012000;244;221;1001300;10004;76183.45
836010020;148;936;113;9900012000;244;340;1001300;10004;3.95
836010020;148;936;113;9900012000;244;226;1001300;10004;4.18
836010020;148;936;113;9900012000;244;225;1001300;10004;-0.36
836010020;148;936;113;9900012000;244;225;1001300;10004;0.36
836010020;148;936;113;9900012000;111;211;1001300;10004;25.44
836010010;148;936;503;9900072000;244;226;2002000;10004;0.36
836010020;148;936;503;9900012000;111;211;1001300;10004;43.59
836010010;148;936;1101;9900020000;244;226;1001019;10004;-39.0
836010010;148;936;1101;9900020000;244;226;1001019;10004;39.0
114010210;146;914;1002;5400012000;244;226;1001303;10004;-35313.77
114010210;146;914;1002;5400012000;244;226;1001303;10004;35313.77
110010010;146;910;503;9900060000;814;241;1002000;10085;31553741.6
110010010;146;910;503;9900060000;814;241;1002000;10085;-31553741.6
110010010;146;910;503;4800020000;634;242;1002000;10167;-3370000.0
110010010;146;910;503;4800060000;634;242;1002000;10167;3370000.0
110010010;146;910;503;4800020000;244;225;1002000;10259;-232851.64
110010010;146;910;503;4800020000;244;225;1002000;10430;232851.64
103010020;146;903;707;3500012000;851;290;1001000;10004;-4500.0
103010020;146;903;707;3500012000;851;291;1001000;10004;4500.0
103010020;146;903;707;9900012000;851;290;1001000;10004;0.0
103010020;146;903;707;9900012000;851;291;1001000;10004;0.0
839010010;151;939;503;Ä3000L5550;244;225;1002000;10004;-583991.45
839010010;151;939;503;Ä3000R5550;244;225;2002000;10004;-3083935.89
839010010;151;939;409;Ä3000R5550;244;225;2002000;10004;-5029200.0
839010010;151;939;409;Ä3000L5550;244;225;1002000;10004;-2422836.3
839010010;151;939;503;Ä3000R5550;244;310;2002000;10004;3077635.88
839010010;151;939;503;Ä3000L5550;244;226;1002000;10004;583991.45
839010010;151;939;503;Ä3000R5550;244;226;2002000;10004;6300.01
839010010;151;939;409;Ä3000R5550;244;226;2002000;10004;5029200.0
839010010;151;939;409;Ä3000L5550;244;226;1002000;10004;2422836.3
157010010;146;957;309;3400060000;634;242;1001400;10004;-4500000.0
157010010;146;957;309;3400060000;634;242;1001400;10004;4500000.0
838010010;150;938;503;9900060000;611;241;1002000;10186;-75000.0
838010010;150;938;503;9900060000;611;241;1002000;10180;75000.0
838010010;150;938;503;Â100060000;611;241;1002000;10186;-539900.0
838010010;150;938;503;Â1000S3760;612;241;1002000;10185;539900.0
844010010;155;944;503;Å300060000;612;241;1002000;10183;-56990.0
837010010;149;937;104;9900011000;122;212;1001100;10004;-5000.0
